Код,Медичний напрям,Захворювання,Область,Больница,Заявник,Спонсор,Фази,Стан,Стать,Вік пацієнтів
3082В2-4433-WW (В1831005),Гематологія,Гемофілія А,Донецька | Запорізька | Львівська,"ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""Дитяча ОКЛ"", м. Запоріжжя | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів","ТОВ ""Парексел Україна""","Ваєт Сп. з.О.о., Польща (Wyeth Sp. z.o.o.), Poland",4,Завершено КВ в Україні,чоловіча,"Новонароджені (до 27-го дня життя), Немовлята (з 28-го дня життя - 24 міс), Діти (2 роки - 11 років)"
2197944/201,Неврологія,Постгерпетична невралгія,Вінницька | Волинська | Київська | Київська | Крим | Харківська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""Волинська ОКЛ"", м. Луцьк | КЗ ""МКЛ №3"", м. Київ | КЗ ""МКЛ №9"", м. Київ | КРУ ""Клінічний шкірно-венерологічний диспансер"", м. Сімферополь | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків","ТОВ ""МБ Квест""","Конвергенс Фармасьютікалс Лтд. (Convergence Pharmaceuticals Ltd), Велика Британія",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
IPI-145-04,Ревматологія,ревматоїдний артрит в активній формі,Донецька | Донецька | Донецька | Запорізька | Київська | Київська | Київська | Київська | Київська | Львівська | Полтавська | Харківська | Харківська,"ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""МКЛ №5"", м. Донецьк | КЗ ""ОКЛ профзахворювань"", м. Донецьк | КЗ ""МКЛ №7"", м. Запоріжжя | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КЗ ""МКЛ №3"", м. Київ | КЗ ""МКЛ №6"", м. Київ | КНП ""КДЦ ""Печерського району, м. Київ | КНП ""КДЦ"" Деснянського району м. Києва, м. Київ | КЗ ""Обласний клінічний діагностичний центр"", м. Львів | КЗ ""МКЛ №1"", м. Полтава | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №8"", м. Харків","ТОВ ""Інс Ресерч Україна""","Infinity Pharmaceuticals, Inc, США",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
261201,Гематологія,гемофілія А важкого ступеня,Донецька | Львівська,"ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів","ПІІ ""Квінтайлс Україна""","Бакстер Інновейшнз ГмбХ, Австрія","2, 3",Завершено КВ в Україні,чоловіча,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років)"
С12 008,Офтальмологія,"глаукома у педіатричних пацієнтів, підвищений внутрішньо очний тиск",Київська | Київська | Київська | Одеська | Харківська,"КЗ ""МКЛ ""Центр мікрохірургії ока"", м. Київ | НДСЛ ""Охматдит"", м. Київ | ТОВ ""ОК Новий зір"", м. Київ | Інститут очних хвороб і тканинної терапії імені В.П.Філатова АМН України, м. Одеса | КЗ ""ОКЛ"", м. Харків","ТОВ ""Докумедс""","ТОВ Алкон Ресерч, США",3,Завершено КВ в Україні,будь-яка,"Немовлята (з 28-го дня життя - 24 міс), Діти (2 роки - 11 років), Малолітні (12-14 років), Неповнолітні (14-18 років)"
ЗНЯТО APO-EPO-03,"Гематологія, Нефрологія","Пацієнти з анемією і хронічною хворобою нирок (ХХН), які не проходять діаліз.",Київська | Крим | Львівська | Харківська | Чернівецька,"ДЗ ""Інститут нефрології НАМН України"", м. Київ | КЗ ""МКЛ №7"", м. Сімферополь | КЗ ""ОКЛ"", м. Львів | КЗ ""МКЛ швидкої та невідкладної медичної допомоги імені О.І. Мещанінова"", м. Харків | КЗ ""ОКЛ"", м. Чернівці",Акцельсіорз Лтд.,"Апотекс Інк (APOTEX Inc.), Канада",3,Знято з розгляду,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
ACP-001_CT-004,Ендокринологія,Дефіцит гормону зросту у дітей,Донецька | Київська | Київська | Одеська | Харківська,"КЗ ""Дитяча ОКЛ"", м. Донецьк | ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | УНПЦ екстреної медичної допомоги та медицини катастроф, м. Київ | КЗ ""ОКЛ"", м. Одеса | КЗ ""Дитяча ОКЛ"" , м. Харків",Акцельсіорз Лтд.,Асцендіс Фарма (Ascendis Pharma A/S),2,Завершено КВ в Україні,будь-яка,Діти (2 роки - 11 років)
SB4-G31-RA,Ревматологія,Ревматоїдний артрит,Вінницька | Вінницька | Донецька | Донецька | Запорізька | Івано-Франківська | Київська | Київська | Крим | Полтавська | Харківська | Харківська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | Клініка Науково-дослідного інституту реабілітації інвалідів, м. Вінниця | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | ННЛК ""Університетська клініка"" НМУ імені М. Горького, м. Донецьк | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КРУ ""КТМУ ""Університетська клініка"", м. Сімферополь | КЗ ""ОКЛ"", м. Полтава | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №8"", м. Харків","ПІІ ""Квінтайлс Україна""","Самсунг Біоепіс Ко., Лтд. (Samsung Bioepis Co., Ltd.,), Корея",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
20120283,Онкологія,"Рак молочної залози на ранніх стадіях, з позитивним HER2 статусом.",Волинська | Дніпропетровська | Закарпатська | Запорізька | Київська | Крим | Львівська | Харківська | Чернівецька,"ДЛПЗ ""Волинський обласний онкологічний диспансер"", м. Луцьк | ""Міська багатопрофільна лікарня №4"", м. Дніпро | Ужгородська центральна МКЛ, м. Ужгород | Запорізький обласний клінічний онкологічний диспансер, м. Запоріжжя | Київський міський клінічний онкологічний центр, м. Київ | ТОВ ""ЛДЦ клінічної діагностики"", м. Сімферополь | КЗ ""Обласний онкологічний центр"", м. Львів | КНП ""Обласний центр онкології"", м. Харків | КЗ ""Обласний клінічний онкологічний диспансер"", м. Чернівці","ТОВ ""Фармасьютікал Рісерч Ассоушиейтс Україна""","Amgen Inc., США",3,Завершено КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
FM-GLМ,Здорові добровольці,здорові добровольці,Харківська | Харківська,"Лабораторія фармакокінетики ДП ""Державний експертний центр"" МОЗ України, м. Харків | ННМК ""Університетська клініка"" НМУ, м. Харків","ПАТ ""Фармак""",ВАТ Фармак,Інша,Розпочато КВ в Україні,будь-яка,Дорослі (18-65 років)
ЗНЯТО MK-8808-003-00,Онкогематологія,нелікована раніше СD20 позитивна фолікулярна лімфома,Донецька | Київська | Харківська | Хмельницька,"КМЗ ""МКЛ №2"", м. Макіївка | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КНП ""Обласний центр онкології"", м. Харків | КЗ ""ОКЛ"", м. Хмельницький","ТОВ ""Парексел Україна""","Merck & Co., Inc",3,Знято з розгляду,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
CT-P10 1.3,Ревматологія,ревматоїдний артрит,Київська,"ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ","ТОВ ""КДО ІнноФарм-Україна""","CELLTRION, Inc. ЦЕЛЛТРІОН Інк.",1,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
HGS1006-C1113,Ревматологія,Системний червоний вовчак (СЧВ).,Вінницька | Вінницька | Вінницька | Вінницька | Донецька | Донецька | Закарпатська | Запорізька | Івано-Франківська | Київська | Київська | Київська | Львівська | Одеська | Полтавська | Тернопільська | Харківська | Чернівецька,"""МКЛ №1"", м. Вінниця | ""ОКЛ ім. М.І. Пирогова"", м. Вінниця | Клініка Науково-дослідного інституту реабілітації інвалідів, м. Вінниця | МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""Центральна МКЛ №1"", м. Донецьк | Закарпатська ОКЛ імені Андрія Новака, м. Ужгород | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | КЗ ""МКЛ №3"", м. Київ | Олександрівська клінічна лікарня, м. Київ | КЗ ""ОКЛ"", м. Львів | МЦ ОНМУ, м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""Університетська лікарня"", м. Тернопіль | КЗ ""МКЛ №8"", м. Харків | КЗ ""ОКЛ"", м. Чернівці","ПІІ ""Квінтайлс Україна""","Human Genome Sciences, Inc. (Хьюман Дженом Сайенсіз, Інк.), США",4,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
RPC01-201,Неврологія,рецидивуючий розсіяний склероз,Вінницька | Волинська | Дніпропетровська | Дніпропетровська | Донецька | Івано-Франківська | Київська | Львівська | Харківська | Чернигівська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""Волинська ОКЛ"", м. Луцьк | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | ВСП ""Клініка медичної академії"", м. Дніпро | ДЗ ""Дорожня клінічна лікарня станції Донецьк ДП ""Донецька залізниця"", м. Донецьк | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""ОКЛ"", м. Київ | КЗ ""ОКЛ"", м. Львів | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків | КЗ ""ОКЛ"", м. Чернігів","ТОВ ""КДО ІнноФарм-Україна""",Celgene Corporation,2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
RDEA594-306,Ревматологія,подагра,Вінницька | Волинська | Київська | Київська | Полтавська | Харківська | Харківська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | КЗ ""Луцька МКЛ"", м. Луцьк | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КЗ ""МКЛ №6"", м. Київ | КЗ ""ОКЛ"", м. Полтава | КЗ ""МКЛ №8"", м. Харків | ННМК ""Університетська клініка"" НМУ, м. Харків","ТОВ ""Фармасьютікал Рісерч Ассоушиейтс Україна""","Ардеа Біосаєнсес, Інк. (Ardea Biosciences, Inc.), США",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
RGH-188-005,Психіатрія,Шизофренія з переважанням негативних симптомів.,Вінницька | Київська | Крим | Луганська | Одеська | Одеська | Полтавська | Харківська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ КОР ""Обласне психіатрично-наркологічне медичне об’єднання"", Київська область, смт. Глеваха, м. Київ | КРУ ""Клінічна психіатрична лікарня №1"", м. Сімферополь | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Луганськ | КЗ ""Обласна клінічна психіатрична лікарня №2"", с. Олександрівка, м. Одеса | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | КЗ ""Обласна клінічна психіатрична лікарня"", м. Полтава | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ТОВ ""Ворлдвайд Клінікал Траілс Укр""",Gedeon Richter Plc. ( Гедеон Ріхтер Піелсі),3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
Mch/Arm-long-13,Неврологія,пацієнти з дисциркуляторною енцефалопатією,Донецька,"КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк","ТОВ НВФ ""Мікрохім""","ТОВ НВФ Мікрохім, Україна",Інша,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
20110142 не провод. в Україні,"Ортопедія, Ревматологія",постменопаузальний остеопороз,Донецька | Закарпатська | Київська | Київська | Київська | Київська | Харківська | Харківська | Харківська,"КЗ ""МКЛ №5"", м. Донецьк | Закарпатський обласний наркологічний диспансер, м. Ужгород | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КНП ""Центр первинної медико - санітарної допомоги №2"" Шевченківського району міста Києва, м. Київ | МЦПВНЗ ""Інститут загальної практики - сімейної медицини"", м. Київ | ДЗ ""Інститут патології хребта та суглобів імені проф. М.І. Ситенка НАМН України"", м. Харків | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""Дитяча МКЛ №16"", м. Харків","ПІІ ""Квінтайлс Україна""","Amgen Inc., США",3,Завершено КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
3082В2-4434-WW (В1831006),Гематологія,Гемофілія А,Донецька | Запорізька | Львівська,"ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""Дитяча ОКЛ"", м. Запоріжжя | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів","ТОВ ""Парексел Україна""","Ваєт Сп. з.О.о., Польща (Wyeth Sp. z.o.o.), Poland",4,Завершено КВ в Україні,чоловіча,"Новонароджені (до 27-го дня життя), Немовлята (з 28-го дня життя - 24 міс), Діти (2 роки - 11 років)"
28431754DIA3011,Ендокринологія,цукровий діабет ІІ типу,Дніпропетровська | Донецька | Донецька | Донецька | Донецька | Запорізька | Запорізька | Івано-Франківська | Київська | Київська | Київська | Київська | Київська | Київська | Крим | Львівська | Одеська | Одеська | Полтавська | Сумська | Харківська | Харківська | Харківська | Черкаська,"ВСП ""Клініка медичної академії"", м. Дніпро | ДЗ ""Дорожня клінічна лікарня станції Донецьк ДП ""Донецька залізниця"", м. Донецьк | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""Центральна МКЛ №1"", м. Донецьк | ННЛК ""Університетська клініка"" НМУ імені М. Горького, м. Донецьк | КЗ ""МКЛ №7"", м. Запоріжжя | Обласний клінічний ендокринологічний диспансер, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДАХК ""Артем"", м. Київ | ДЗ ""Дорожня клінічна лікарня №2 станції Київ ДТГО ""Південно-Західна залізниця"", м. Київ | ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КЗ ""МКЛ №1"", м. Київ | Поліклініка №2 Шевченківського р-ну ГУОЗ, м. Київ | ДЗ ""Відділкова клінічна лікарня ст. Сімферополь ДП ""Придніпровська залізниця"", м. Сімферополь | КЗ ""ОКЛ"", м. Львів | ДЗ ""Дорожня лікарня ДП ""Одеська залізниця"", м. Одеса | КЗ ""ОКЛ"", м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""ОКЛ"", м. Суми | ДЗ ""Інститут проблем ендокринної патології ім. В. Я. Данілевського НАМН України, м. Харків | КЗ ""Дитяча МКЛ №16"", м. Харків | КЗ ""ОКЛ"", м. Харків | КЗ ""ОКЛ"", м. Черкаси","Представництво ""Янссен фармацевтика НВ""","Janssen Research & Development, LLC",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MK-7965-012,Гематологія,хронічний лімфоцитарний лейкоз,Вінницька | Дніпропетровська | Донецька | Київська | Львівська | Харківська | Хмельницька | Черкаська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | ""Міська багатопрофільна лікарня №4"", м. Дніпро | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""МКЛ №9"", м. Київ | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""ОКЛ"", м. Хмельницький | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ТОВ ""Пі Ес Ай-Україна""","Merck & Co., Inc",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MK-0431А XR-289,Ендокринологія,Цукровий діабет 2-го типу,Вінницька | Донецька | Київська | Київська | Львівська | Одеська | Полтавська | Харківська,"Обласний клінічний ендокринологічний диспансер, м. Вінниця | КЗ ""Дитяча ОКЛ"", м. Донецьк | ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | УНПЦ екстреної медичної допомоги та медицини катастроф, м. Київ | КЗ ""Обласний ендокринологічний центр"", м. Львів | КЗ ""Дитяча ОКЛ"", м. Одеса | КЗ ""Дитяча ОКЛ"", м. Полтава | ДЗ ""Інститут охорони здоровя дітей та підлітків НАМН України"", м. Харків","ТОВ ""МСД Україна""","Merck & Co., Inc",3,Розпочато КВ в Україні,будь-яка,"Діти (2 роки - 11 років), Малолітні (12-14 років), Неповнолітні (14-18 років), Молодші 18 років"
EF/PFD/SP/IPAG-I,Інфекційні хвороби,геніальний герпес у фазі ремісії,Київська,"ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ","ТОВ ""НВК ""Екофарм""","ТОВ НВК Екофарм, Україна",1,Завершено КВ в Україні,жіноча,Дорослі (18-65 років)
PD0005,Неврологія,Хвороба Паркінсона,Вінницька | Дніпропетровська | Запорізька | Київська | Київська | Крим | Львівська | Одеська | Харківська | Харківська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ВСП ""Клініка медичної академії"", м. Дніпро | КЗ ""МКЛ №6"", м. Запоріжжя | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | КЗ ""МКЛ №9"", м. Київ | КРУ ""КТМУ ""Університетська клініка"", м. Сімферополь | КЗ ""ОКЛ"", м. Львів | КЗ ""ОКЛ"", м. Одеса | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків","ТОВ ""Фармасьютікал Рісерч Ассоушиейтс Україна""",UCB Inc.,4,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
OS440-3003,Неврологія,Резистентна спастичність при розсіяному склерозі.,Дніпропетровська | Дніпропетровська | Дніпропетровська | Донецька | Львівська | Одеська | Полтавська | Харківська | Харківська,"""ОКЛ імені І.І. Мечнікова"", м. Дніпро | ВСП ""Клініка медичної академії"", м. Дніпро | ДЗ ""Український ДНДІМСЦПІ МОЗ України"", м. Дніпро | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | КЗ ""ОКЛ"", м. Львів | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""ОКЛ"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків","Представницство ООО ""БіоРасі Ел Ел СІ"", Росія","Osmotica Pharmaceutical Corp., USA",3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
GP15-302,Ревматологія,хронічний бляшковий псориаз від середнього до важкого ступеня важкості,Дніпропетровська | Донецька | Запорізька | Київська | Крим | Луганська | Рівненська | Харківська,"ДЗ ""Дорожня клінічна лікарня станції Дніпропетровськ ДП ""Придніпровська залізниця"", м. Дніпро | ККЗ ""Міський шкірно-венерологічний диспансер №1 м. Донецька"", м. Донецьк | КЗ ""Обласний шкірно-венерологічний клінічний диспансер"" Запорізької обласної ради, м. Запоріжжя | Олександрівська клінічна лікарня, м. Київ | КРУ ""Клінічний шкірно-венерологічний диспансер"", м. Сімферополь | КЗ ""Обласний шкірно-венерологічний диспансер"", м. Луганськ | КЗ ""Обласний шкірно-венерологічний диспансер"", м. Рівне | ДЗ ""Інститут дерматології і венерології АМН України"", м. Харків","ПІІ ""Квінтайлс Україна""",Гексал АГ /Hexal AG,3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
76922,Неврологія,Гострий неспецифічний поперековий біль,Вінницька | Київська | Полтавська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ ""МКЛ №9"", м. Київ | КЗ ""ОКЛ"", м. Полтава","Товариство з обмеженою відповідальністю ""Клінікал Трайл Лоджистік Саппорт""",Gedeon Richter Plc. ( Гедеон Ріхтер Піелсі),4,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
D1050304,Психіатрія,пацієнти з тяжким депресивним розладом зі змішаними симптомами,Вінницька | Дніпропетровська | Донецька | Київська | Київська | Луганська | Львівська | Одеська | Харківська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Обласна клінічна психіатрична лікарня"", м. Донецьк | КЗ КОР ""Обласне психіатрично-наркологічне медичне об’єднання"", Київська область, смт. Глеваха, м. Київ | Психоневрологічна МКЛ №2, м. Київ | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Луганськ | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків","ТОВ ""Ворлдвайд Клінікал Траілс Укр""",Sunovion Pharmaceuticals Inc. (Суновіон Фармасьютікалз Інк.),3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
BCRU/12/Dex-Pai/001,Хірургія,пацієнти з післяопераційним зубним болем,Київська | Київська | Київська,"КЗ ""ОКЛ"", м. Київ | НВМКЦ ""Головний військовий клінічний госпіталь"", м. Київ | Стоматологічний медичний центр НМУ імені О.О.Богомольця, м. Київ","ТОВ ""Віта Етерна""","Берлін-Хемі АГ(Менаріні Груп), Німеччина",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
DEX-TRA-04,Гінекологія,помірний або сильний гострий біль після абдомінальної гістеректомії,Донецька | Запорізька | Івано-Франківська | Київська | Київська | Київська | Київська | Київська,"Донецький регіональний центр охорони материнства та дитинства, м. Донецьк | КЗ ""Пологовий будинок №3"", м. Запоріжжя | КЗ ""Обласний перинатальний центр"", м. Івано-Франківськ | ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ | КЗ ""Дитяча МКЛ №9"", м. Київ | Київський міський центр репродуктивної та перинатальної медицини, м. Київ | Лікарня для вчених НАН України, м. Київ | Міський пологовий будинок №6, м. Київ","ТОВ ""Парексел Україна""",Menarini Ricerche S.p.A.,3,Завершено КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
ART-DIM,Здорові добровольці,здорові добровольці,Харківська,"ННМК ""Університетська клініка"" НМУ, м. Харків","ПАТ ""Київмедпрепарат""","ВАТ Київмедпрепарат, Україна",Інша,Розпочато КВ в Україні,будь-яка,Дорослі (18-65 років)
FM/UR/G/UL -01,Нефрологія,сечокам’янна хвороба,Івано-Франківська,"КЗ ""МКЛ"", м. Івано-Франківськ","ПАТ ""Фармак""",ВАТ Фармак,Інша,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
CSL627_1001,Гематологія,гемофілія А,Дніпропетровська | Донецька | Львівська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів","ТОВ ""Інс Ресерч Україна""",СіЕсЕль Берінг ГмбХ (CSL Behring GmbH),3,Завершено КВ в Україні,чоловіча,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років)"
GreenGene ™ F_P3,Гематологія,"Гемофілія А, важка форма",Дніпропетровська | Донецька | Запорізька | Київська | Львівська | Харківська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""Дитяча ОКЛ"", м. Запоріжжя | КЗ ""МКЛ №9"", м. Київ | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів | КЗ ""Обласний клінічний онкологічний центр"", м. Харків","ТОВ ""Русслан Клінікал Рісерч""","Грін КроссКорпорейшн, Корея",3,Завершено КВ в Україні,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років), Молодші 18 років"
NB/CHN/SI/G-01,"Ортопедія, Ревматологія",деформуючий остеоартроз великих суглобів,Івано-Франківська,"КЗ ""ОКЛ"", м. Івано-Франківськ","ТОВ фірма ""Новофарм-Біосинтез""",ТОВ фірма „Новофарм-Біосинтез,Інша,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
DEX-TRA-05,"Ортопедія, Травматологія",Помірний або сильний гострий біль після елективної однобічної тотальної первинної артропластики кульшового суглоба.,Київська | Крим | Харківська | Черкаська,"КЗ ""ОКЛ"", м. Київ | КЗ ""Севастопольська міська лікарня №9"", м. Севастополь | ДЗ ""Інститут патології хребта та суглобів імені проф. М.І. Ситенка НАМН України"", м. Харків | КЗ ""ОКЛ"", м. Черкаси","ТОВ ""Парексел Україна""",Menarini Ricerche S.p.A.,3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
2012-005,Онкологія,Множинна мієлома,Вінницька | Дніпропетровська | Донецька | Житомирська | Закарпатська | Івано-Франківська | Київська | Київська | Крим | Львівська | Полтавська | Харківська | Хмельницька | Черкаська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | ""Міська багатопрофільна лікарня №4"", м. Дніпро | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | Закарпатська ОКЛ імені Андрія Новака, м. Ужгород | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""МКЛ №9"", м. Київ | Київський центр трансплантації кісткового мозку, м. Київ | КРУ ""Онкологічний клінічний диспансер"", м. Севастополь | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів | КЗ ""ОКЛ"", м. Полтава | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""ОКЛ"", м. Хмельницький | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ПІІ ""Квінтайлс Україна""","OnyxTherapeutics, Inc., США",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
